scenario,light_mode,n_seeds,avg_travel_mean,avg_travel_ci95,avg_wait_mean,avg_wait_ci95,avg_reservation_wait_mean,avg_reservation_wait_ci95,avg_utility_mean,avg_utility_ci95
VS-12,adaptive,10,31.89935064934972,3.105157976851043,17.465974025974084,2.7762383250810743,14.997792207792248,2.004493884300407,0.7444409465442134,0.01616247446602607
VS-12,adaptive,15,31.659134199133266,2.1339796095548746,17.065454545454603,1.901108610633423,14.777142857142895,1.4341926307980568,0.746694054675841,0.011719742370840027
VS-12,adaptive,20,31.482467532466604,1.6112230903596252,16.89324675324681,1.433812177678719,14.651428571428607,1.0829058997378433,0.7473343252960133,0.008771403057420697
VS-12,adaptive,25,32.33111688311592,1.71956223424911,17.49979220779227,1.4221735977495882,15.045038961039001,1.043121849236604,0.7451006836195186,0.00825971305819684
VS-12,adaptive,30,32.59679653679555,1.6447787214179264,17.771341991342055,1.4494682819199982,15.252251082251123,1.055862913442118,0.7447725613525747,0.00790418807295035
VS-12,fixed,5,35.518961038959944,7.642892702370747,20.162857142857213,6.010200443763153,17.01038961038966,4.336567548971216,0.7289422163624415,0.018214650523049988
VS-12,fixed,10,33.15298701298603,3.6642831181291986,18.53506493506499,2.7426916510725556,15.83636363636368,1.9783480567767648,0.7351118963939471,0.00898188805632199
VS-12,fixed,15,32.51073593073498,2.8033467916295516,18.2054545454546,2.1394717032388346,15.644242424242465,1.5751745313213492,0.7355786781398442,0.007877057326564189
VS-12,fixed,20,32.620714285713326,2.2714944655887064,18.213181818181873,1.707071632603427,15.642012987013027,1.2529526242144746,0.7357834211546321,0.0060564702093547735
VS-12,fixed,25,33.140987012986045,1.8958796769343418,18.618701298701357,1.4458033346839572,15.977350649350692,1.0742880056266546,0.7346205474660615,0.005719543938504759
VS-12,fixed,30,33.22757575757479,1.6712874745277164,18.62649350649356,1.2615669245534182,15.933766233766274,0.9293866806153944,0.733803099821984,0.005396715569098247
VS-13,adaptive,5,25.48562500000009,3.8677941759745575,11.70937500000002,3.4142066946925125,10.067500000000006,2.2519281471952506,0.7829907231986805,0.022866797969121767
