scenario,label,light_mode,seed,avg_travel,min_travel,max_travel,avg_wait,min_wait,max_wait,avg_reservation_wait,min_reservation_wait,max_reservation_wait,avg_utility,min_utility,max_utility,collisions,completed_trips,vehicles_spawned
VS-14,Mixed Emergency Traffic,fixed,1024,31.0418181818177,2.899999999999835,98.99999999999459,16.712727272727314,0.0,62.300000000000615,14.994545454545488,0.0,62.300000000000615,0.7503835173412412,0.5858498023715413,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1025,30.538181818181382,3.2999999999998124,112.29999999999391,15.576363636363677,0.0,64.6000000000006,14.156363636363672,0.0,64.6000000000006,0.7559393926177155,0.5919060052219309,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1026,26.79818181818147,3.2999999999998124,107.99999999999629,14.078181818181859,0.0,62.300000000000615,12.54727272727276,0.0,61.2000000000006,0.7722757996219223,0.5484615384615367,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1027,32.35272727272676,4.799999999999983,95.59999999999732,17.943636363636426,0.0,58.30000000000056,13.889090909090944,0.0,58.30000000000056,0.7327387839848212,0.4386930091185391,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1028,31.3090909090905,5.199999999999733,79.49999999999866,16.21454545454548,0.0,45.00000000000037,14.185454545454565,0.0,44.700000000000365,0.7423310931806997,0.5359893048128334,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1029,29.954545454545084,4.799999999999985,79.8999999999966,15.99090909090913,0.0,47.2000000000004,13.974545454545481,0.0,47.2000000000004,0.7627031176116392,0.5756696428571432,1.0,0,55,55
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1000,20.24166666666676,6.3000000000000895,38.60000000000039,6.624999999999992,0.0,19.1,6.5249999999999915,0.0,19.1,0.8497959473046021,0.6859090909090912,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1001,16.541666666666714,4.799999999999995,34.900000000000404,4.86666666666666,0.0,11.799999999999974,3.366666666666664,0.0,11.799999999999974,0.8493272355368195,0.7141975308641966,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1002,16.21666666666673,6.099999999999653,48.200000000000614,4.499999999999994,0.0,11.499999999999975,4.499999999999994,0.0,11.499999999999975,0.8547570667162062,0.6940886699507399,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1003,16.94166666666675,5.900000000000084,28.000000000000327,5.466666666666659,0.0,14.999999999999963,5.16666666666666,0.0,14.999999999999963,0.8457746036415754,0.683333333333334,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1004,27.86666666666674,2.900000000000041,75.29999999999978,11.108333333333348,0.0,36.10000000000024,10.908333333333347,0.0,36.10000000000024,0.8203399219671373,0.6808429118773949,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1005,13.575000000000003,7.599999999999973,34.00000000000023,4.2166666666666615,0.0,11.199999999999976,4.024999999999995,0.0,11.199999999999976,0.8401711250516716,0.6570658682634735,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1006,18.141666666666772,3.2999999999998124,34.80000000000024,6.41666666666666,0.0,19.0,5.691666666666662,0.0,19.0,0.8508317873350709,0.6776708074534162,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1007,27.76666666666669,2.899999999999835,96.59999999999857,9.508333333333336,0.0,29.000000000000142,9.066666666666672,0.0,29.000000000000142,0.8408446836599911,0.7207661290322569,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1008,21.33333333333344,5.300000000000075,57.60000000000041,8.541666666666663,0.0,22.60000000000005,8.049999999999995,0.0,22.60000000000005,0.8151933035979956,0.6670270270270284,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1009,19.041666666666572,5.499999999999982,40.09999999999772,5.2666666666666595,0.0,11.799999999999974,4.883333333333328,0.0,11.799999999999974,0.845778294818151,0.6980676328502419,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1010,25.324999999999957,6.299999999999642,84.29999999999889,8.216666666666681,0.0,29.400000000000148,8.025000000000015,0.0,29.400000000000148,0.8460226687476009,0.7251231527093601,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1011,16.258333333333418,3.2999999999998124,31.10000000000035,5.466666666666657,0.0,15.299999999999962,4.6416666666666595,0.0,11.599999999999975,0.8500422811676142,0.7033012820512825,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1012,14.82500000000004,2.900000000000041,33.90000000000037,4.724999999999992,0.0,13.699999999999967,4.724999999999992,0.0,13.699999999999967,0.8806499377837432,0.7037037037037037,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1013,31.449999999999704,4.799999999999985,137.59999999999607,11.891666666666723,0.0,54.90000000000051,11.891666666666723,0.0,54.90000000000051,0.8458179200537322,0.6954198473282446,1.0,0,12,12
VS-01,Multi-Vehicle Intersection Coordination,adaptive,1014,12.858333333333384,2.899999999999835,24.200000000000124,3.541666666666663,0.0,8.399999999999986,3.541666666666663,0.0,8.399999999999986,0.8835152164414684,0.7571428571428565,1.0,0,12,12
